Gene.symbol,Gene.ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
RANBP3L,202151,0.936258831,2.801778342,115.7882205,1.18E-11,9.93E-08,15.8912013
IL20,50604,0.621914572,2.65886391,29.99266674,5.40E-08,9.76E-06,9.495981777
NR4A2,4929,0.620760773,3.255600531,121.6857235,8.66E-12,9.93E-08,16.01324523
RHCG,51458,0.613884641,3.090702515,26.33623467,1.21E-07,1.70E-05,8.653616567
EGR1,1958,0.601730323,3.38988756,60.77757065,6.62E-10,8.56E-07,13.52777057
LOC440896,440896,0.565214696,2.683426105,39.66048014,9.49E-09,3.55E-06,11.22298643
IL10,3586,0.543904682,2.976527415,20.80699212,5.20E-07,5.06E-05,7.08533852
HES1,3280,0.542167149,3.086730289,42.66409616,6.02E-09,2.60E-06,11.65002217
LIF,3976,0.522813469,3.112836569,49.65878191,2.34E-09,1.33E-06,12.49788311
IL12B,3593,0.51949919,2.996402012,28.97765063,6.69E-08,1.12E-05,9.274882
PTX3,5806,0.501681174,3.067494084,28.05713315,8.17E-08,1.26E-05,9.066221316
PMAIP1,5366,0.495759825,3.365363893,73.54761149,2.01E-10,4.66E-07,14.38008318
IL23A,51561,0.494766503,3.253205808,52.4386047,1.66E-09,1.17E-06,12.78734213
CSF2,1437,0.481619668,3.142201522,51.06170776,1.96E-09,1.18E-06,12.64697163
E2F7,144455,0.478984038,3.031055396,67.40511056,3.47E-10,5.59E-07,14.00568584
CCL20,6364,0.471894721,3.490446474,64.66640278,4.50E-10,6.30E-07,13.81844013
FOS,2353,0.449085574,3.328739934,72.41776275,2.22E-10,4.66E-07,14.3155618
GADD45B,4616,0.443499508,3.375407701,55.15426731,1.21E-09,1.16E-06,13.04809433
GADD45A,1647,0.415187828,3.092920364,10.90573647,2.67E-05,9.59E-04,2.685953858
TFPI2,7980,0.408201826,2.738387879,18.98536323,9.16E-07,7.81E-05,6.46572038
TARP,445347,0.406754338,3.107241783,20.56796336,5.59E-07,5.29E-05,7.007433541
TARP,445347,0.406754338,3.107241783,20.56796336,5.59E-07,5.29E-05,7.007433541
IFNG,3458,0.406413395,2.698578971,12.76572148,1.04E-05,5.05E-04,3.757058337
KLF4,9314,0.4061449,2.979609812,30.61848385,4.75E-08,9.18E-06,9.627855141
CA13,377677,0.399947478,2.815230422,35.22871726,1.98E-08,5.48E-06,10.50682845
CLCF1,23529,0.396752154,3.306199945,51.11715307,1.95E-09,1.18E-06,12.65273587
ZFP36,7538,0.396680846,3.333635841,74.78977542,1.81E-10,4.66E-07,14.44893051
ACOD1,730249,0.394649429,2.693766545,19.62569492,7.46E-07,6.64E-05,6.690521625
CXCL2,2920,0.390541215,3.400852919,57.49041203,9.37E-10,1.10E-06,13.2566364
C12orf50,160419,0.384500944,2.625524868,16.33050644,2.31E-06,1.60E-04,5.440044862
IL6,3569,0.384078345,3.41792173,87.03474512,7.03E-11,3.94E-07,15.02651313
FOSB,2354,0.376615966,3.046551893,23.78247185,2.28E-07,2.70E-05,7.980289156
NIPAL4,348938,0.35950761,3.096706788,41.22973225,7.45E-09,3.06E-06,11.45142199
ZBTB10,65986,0.337564658,3.119435362,69.16398629,2.95E-10,5.52E-07,14.11901833
MIR155///MIR155HG,406947///114614,0.328693454,3.448543397,33.49423805,2.72E-08,5.93E-06,10.19399146
ULBP1,80329,0.328593131,2.944362477,15.8945499,2.73E-06,1.83E-04,5.255229551
TNF,7124,0.3265756,3.610232772,31.35618316,4.10E-08,8.10E-06,9.779155519
TNF,7124,0.3265756,3.610232772,31.35618316,4.10E-08,8.10E-06,9.779155519
TNF,7124,0.3265756,3.610232772,31.35618316,4.10E-08,8.10E-06,9.779155519
BAMBI,25805,0.322303679,2.888771606,37.21620278,1.41E-08,4.93E-06,10.84184802
TNFSF9,8744,0.316494502,3.351684458,25.07637434,1.64E-07,2.15E-05,8.331215714
HIVEP2,3097,0.313915475,3.338465968,75.03192799,1.78E-10,4.66E-07,14.4621041
KCNA3,3738,0.31237538,2.904379569,27.94077577,8.39E-08,1.27E-05,9.039269347
NFKBIZ,64332,0.310925426,3.323693181,72.64493868,2.17E-10,4.66E-07,14.32868358
NOCT,25819,0.310751394,3.153295731,57.03955831,9.84E-10,1.10E-06,13.21746201
GCNT4,51301,0.308910463,3.050449642,33.46347192,2.73E-08,5.93E-06,10.18825831
CXCL3,2921,0.308449063,3.228919839,66.83834131,3.66E-10,5.59E-07,13.96804068
HSPA6,3310,0.306992586,2.950557297,55.22655076,1.20E-09,1.16E-06,13.05475798
RNVU1-15,101954267,0.306552456,2.753052744,7.425116193,2.53E-04,0.003345833,0.133454745
HCAR3,8843,0.300325015,3.225677139,48.13868436,2.84E-09,1.40E-06,12.32902804
CSRNP1,64651,0.299646564,3.109700791,37.74700086,1.29E-08,4.62E-06,10.92738921
APBB3,10307,0.297888587,3.021303802,53.98586416,1.39E-09,1.17E-06,12.93842919
FRMD7,90167,0.295962913,2.766924072,15.84575024,2.78E-06,1.86E-04,5.234220543
DENND4A,10260,0.295961166,3.40719337,49.16589934,2.49E-09,1.34E-06,12.44398763
EZH2,2146,0.294531013,3.229943631,46.50232009,3.52E-09,1.60E-06,12.13821273
OSM,5008,0.291900375,3.154890064,34.14579625,2.41E-08,5.60E-06,10.31387033
RNVU1-15,101954267,0.288319239,2.762117507,7.709041579,2.04E-04,0.003059452,0.376653449
CCL4,6351,0.282241903,3.489410508,54.96322669,1.24E-09,1.16E-06,13.03041577
RASL11A,387496,0.281039725,2.914840719,17.42992343,1.55E-06,1.16E-04,5.884476449
HIST2H4B///HIST2H4A,554313///8370,0.28000698,3.050304805,22.38717575,3.31E-07,3.51E-05,7.576999706
HIST2H4B///HIST2H4A,554313///8370,0.28000698,3.050304805,22.38717575,3.31E-07,3.51E-05,7.576999706
DYRK3,8444,0.27964538,3.095042951,52.42051383,1.67E-09,1.17E-06,12.78553469
GEM,2669,0.275322733,3.444384848,49.5579258,2.37E-09,1.33E-06,12.48692023
NR4A1,3164,0.273060248,3.048259792,22.37905887,3.32E-07,3.51E-05,7.574572663
REV3L,5980,0.271886883,3.010071225,20.85553745,5.13E-07,5.01E-05,7.101042058
EGR4,1961,0.265871206,3.242261032,26.15153327,1.26E-07,1.74E-05,8.607474603
KDM6B,23135,0.260642003,3.327534094,52.63090696,1.63E-09,1.17E-06,12.80649543
CNKSR3///CNKSR3,154043///154043,0.254835462,2.938971144,21.11125706,4.76E-07,4.76E-05,7.18311272
SNORD3D///SNORD3C///SNORD3B-2///SNORD3A///SNORD3B-1,780854///780853///780852///780851///26851,0.254675885,3.189913421,35.17051743,2.01E-08,5.48E-06,10.49665184
SNORD3D///SNORD3C///SNORD3B-2///SNORD3A///SNORD3B-1,780854///780853///780852///780851///26851,0.254675885,3.189913421,35.17051743,2.01E-08,5.48E-06,10.49665184
SNORD3D///SNORD3C///SNORD3B-2///SNORD3A///SNORD3B-1,780854///780853///780852///780851///26851,0.254675885,3.189913421,35.17051743,2.01E-08,5.48E-06,10.49665184
SNORD3D///SNORD3C///SNORD3B-2///SNORD3A///SNORD3B-1,780854///780853///780852///780851///26851,0.254675885,3.189913421,35.17051743,2.01E-08,5.48E-06,10.49665184
SNORD3D///SNORD3C///SNORD3B-2///SNORD3A///SNORD3B-1,780854///780853///780852///780851///26851,0.254675885,3.189913421,35.17051743,2.01E-08,5.48E-06,10.49665184
CSF3,1440,0.254318739,3.233003217,26.67334678,1.12E-07,1.62E-05,8.736875511
CKB,1152,0.252419221,3.197554301,41.41708499,7.24E-09,3.04E-06,11.47790074
IFNL1,282618,0.24575765,2.925989574,9.390613876,6.48E-05,0.001674749,1.67900876
RAPGEF2,9693,0.245740539,3.44389405,51.69852562,1.82E-09,1.18E-06,12.71260674
CCR7,1236,0.244742102,3.42538181,48.98225613,2.54E-09,1.34E-06,12.42369934
GAS2L3,283431,0.2426904,3.297113166,26.11882757,1.27E-07,1.74E-05,8.599264855
IFIT2,3433,0.240443547,3.40339614,17.70367065,1.41E-06,1.09E-04,5.990619892
PELI1,57162,0.239400335,3.255184402,44.5969662,4.57E-09,2.02E-06,11.90335129
PPP1R15A,23645,0.236077822,3.502843763,53.08691745,1.54E-09,1.17E-06,12.85148332
GPRC5A,9052,0.234867909,2.827425056,15.81175482,2.81E-06,1.87E-04,5.219546006
GPR132,29933,0.233326528,3.335950696,31.05833053,4.35E-08,8.50E-06,9.718595498
GBP2,2634,0.230745813,3.473801822,33.88240779,2.53E-08,5.75E-06,10.26576066
